id,day,channel,title,hook,caption,cta,tags,creative_brief,landing_url,publish_status
day01_xiaohongshu,1,xiaohongshu,你不是不自律，你是在逃避一个真问题,很多人以为自己缺执行力，其实是在保护旧身份。,"很多人以为自己缺执行力，其实是在保护旧身份。

写下你拖延最久的一件事，再写下你每次用来解释它的理由。窄门不是让你立刻改变，而是先让你看见：你到底在回避什么。

评论区写一个你一直拖着没做的事，去平台做一次灵魂审计。

#自我觉察 #拖延 #个人成长 #窄门 #行动力",评论区写一个你一直拖着没做的事，去平台做一次灵魂审计。,自我觉察 拖延 个人成长 窄门 行动力,深色金色文字卡：我不是不会做，我是不想面对。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day01_xiaohongshu,ready_to_publish
day02_douyin,2,douyin,30秒测出你的宽门,你最常说的借口，就是你的宽门。,"你最常说的借口，就是你的宽门。

镜头1：列出4句话：我没时间、我还没准备好、以后再说、别人也这样。镜头2：逐句拆解它们背后的回避。镜头3：给出问题：如果不再解释，你今天能做的最小动作是什么？

点进主页，做一次免费灵魂审计。

#宽门 #窄门 #成长 #拖延症 #觉察",点进主页，做一次免费灵魂审计。,宽门 窄门 成长 拖延症 觉察,9:16口播 + 字幕卡，背景为窄门金色线条。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day02_douyin,ready_to_publish
day03_digital_human,3,digital_human,数字人导师：你在等准备好，还是在等不用害怕？,你说你还没准备好，但你真正等的可能是没有恐惧。,"你说你还没准备好，但你真正等的可能是没有恐惧。

数字人正视镜头：准备好不是恐惧消失，而是你愿意带着恐惧做一个小动作。今天的问题：你一直拖延的事，如果只做10分钟，第一步是什么？

进入窄门，完成第1次审计。

#数字人 #AI导师 #窄门 #自我觉察",进入窄门，完成第1次审计。,数字人 AI导师 窄门 自我觉察,舒缓男声，慢速，金色弱光背景。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day03_digital_human,ready_to_publish
day04_xiaohongshu,4,xiaohongshu,一个成年人最危险的状态：什么都懂，但没有证据,收藏了很多方法论，不等于生活发生改变。,"收藏了很多方法论，不等于生活发生改变。

判断成长有没有发生，不看你听懂多少，而看现实里有没有新证据：发出那条消息、拒绝一次越界、完成一次练习、记录一次真实感受。

保存这张清单，今晚做一个能留下证据的小动作。

#成长证据 #行动训练 #成年人自救 #窄门",保存这张清单，今晚做一个能留下证据的小动作。,成长证据 行动训练 成年人自救 窄门,清单图：懂了/做了/被看见/可复盘。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day04_xiaohongshu,ready_to_publish
day05_douyin,5,douyin,你为什么总在关系里委屈自己,讨好不是善良，讨好是用失去自己换取安全感。,"讨好不是善良，讨好是用失去自己换取安全感。

镜头1：复盘一个不敢拒绝的场景。镜头2：解释讨好背后的恐惧：怕冲突、怕被讨厌、怕失去关系。镜头3：给出窄门动作：用一句话表达边界。

主页课程库里有关系真实路径，先做审计再选课。

#讨好型人格 #边界感 #关系成长 #窄门",主页课程库里有关系真实路径，先做审计再选课。,讨好型人格 边界感 关系成长 窄门,口播 + 三段字幕，节奏沉稳。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day05_douyin,ready_to_publish
day06_digital_human,6,digital_human,数字人导师：你今天的窄门问题,今天别问怎么变好，先问哪里不真。,"今天别问怎么变好，先问哪里不真。

你最近最常对别人说的那句解释是什么？如果这句话不能再用了，你必须面对哪个事实？把答案写下来，不发给任何人也可以，但不要再骗自己。

打开窄门，记录你的第一条觉察。

#每日一问 #数字人导师 #灵魂审计",打开窄门，记录你的第一条觉察。,每日一问 数字人导师 灵魂审计,头像半身口播，字幕突出“不真”。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day06_digital_human,ready_to_publish
day07_xiaohongshu,7,xiaohongshu,窄门7天体验：每天做一点最不想做但最需要做的事,成长不是感动，是每天留下证据。,"成长不是感动，是每天留下证据。

第1天承认逃避，第2天看见代价，第3天命名恐惧，第4天做最小行动，第5天复盘现实，第6天建立节奏，第7天写总结。不要追求宏大，先追求真实。

想要完整路径，进入平台从第1天开始。

#7天挑战 #自我成长 #行动证据 #窄门",想要完整路径，进入平台从第1天开始。,7天挑战 自我成长 行动证据 窄门,7天表格长图。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day07_xiaohongshu,ready_to_publish
day08_douyin,8,douyin,一个问题判断你是否在自欺,如果别人用同样的理由对你，你会相信吗？,"如果别人用同样的理由对你，你会相信吗？

把你最近的借口读出来：我太忙了、我没状态、现在不是时候。然后问：如果我的朋友这么说，我会觉得他真实吗？这就是自欺检测。

做一次灵魂审计，看见你的回避模式。

#自欺 #认知觉察 #AI审计 #窄门",做一次灵魂审计，看见你的回避模式。,自欺 认知觉察 AI审计 窄门,强钩子开场 + 黑底黄字。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day08_douyin,ready_to_publish
day09_digital_human,9,digital_human,数字人导师：你的情绪不是敌人,情绪不是问题，不承认情绪才是问题。,"情绪不是问题，不承认情绪才是问题。

当你说“我没事”，身体可能已经替你说了真话。今天只做一件事：给情绪命名。不是我很烦，而是我害怕被否定；不是我生气，而是我的边界被踩了。

去情绪阴影课程路径，听一条导览音频。

#情绪觉察 #数字人 #课程导览",去情绪阴影课程路径，听一条导览音频。,情绪觉察 数字人 课程导览,平静口播 + 呼吸停顿。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day09_digital_human,ready_to_publish
day10_xiaohongshu,10,xiaohongshu,真正有效的成长工具，都不太舒服,如果一个方法只让你感觉良好，却不改变行为，它可能只是安慰剂。,"如果一个方法只让你感觉良好，却不改变行为，它可能只是安慰剂。

窄门训练的标准不是舒服，而是真实、具体、能行动、能见证。你可以慢一点，但不能一直解释；可以害怕，但要留下一个动作。

收藏这4个标准：真实、具体、行动、见证。

#成长工具 #行动力 #窄门训练",收藏这4个标准：真实、具体、行动、见证。,成长工具 行动力 窄门训练,四象限图：舒服/真实/行动/见证。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day10_xiaohongshu,ready_to_publish
